zip_code,population,median_income,num_bachelors,num_masters,num_doctorate,num_white,pct_tertiary,pct_white
76429,129,2499,39,0,0,129,30.2,100.0
76430,2260,60093,413,65,16,2003,21.9,88.6
76431,4543,70536,314,72,0,4279,8.5,94.19999999999999
76432,1178,53333,68,38,9,1083,9.8,91.9
76433,1945,108080,408,189,56,1792,33.6,92.10000000000001
76435,541,59792,56,1,0,388,10.5,71.7
76436,101,57125,23,0,0,93,22.8,92.10000000000001
76437,5920,63272,751,303,35,5320,18.4,89.9
76442,7281,60321,523,259,10,5277,10.9,72.5
76443,1828,49844,258,38,16,1711,17.1,93.60000000000001
76444,3793,57583,420,104,7,2965,14.000000000000002,78.2
76446,8554,57321,801,269,53,6594,13.100000000000001,77.10000000000001
76448,4969,63641,708,297,61,4321,21.5,87.0
76449,2389,73824,316,119,32,2304,19.5,96.39999999999999
76450,13003,71563,1440,506,19,11321,15.1,87.1
76452,133,197593,17,0,0,133,12.8,100.0
76453,1442,95536,195,205,7,1394,28.199999999999996,96.7
76454,1668,41204,96,25,5,1455,7.6,87.2
76455,698,54375,117,23,0,537,20.1,76.9
76457,4023,59569,430,156,3,3615,14.6,89.9
76458,6049,56786,500,142,6,5270,10.7,87.1
76459,139,48750,0,0,0,137,0.0,98.6
76460,472,85729,91,14,0,472,22.2,100.0
76462,4669,94167,566,372,24,4410,20.599999999999998,94.5
76463,500,61250,51,7,0,433,11.600000000000001,86.6
76464,409,63750,109,32,0,379,34.5,92.7
76466,621,128260,61,0,0,481,9.8,77.5
76469,73,56750,4,0,0,73,5.5,100.0
76470,3022,36646,140,74,0,2583,7.1,85.5
76471,1464,48529,143,109,5,1216,17.599999999999998,83.1
76472,1503,96360,375,83,0,1388,30.5,92.30000000000001
76475,947,54688,116,41,0,851,16.6,89.9
76476,3423,77130,247,74,19,3119,9.9,91.10000000000001
76481,205,75690,39,0,0,205,19.0,100.0
76483,746,51827,90,24,4,707,15.8,94.8
76484,739,91731,64,41,0,623,14.2,84.3
76486,1379,65625,126,28,17,1276,12.4,92.5
76487,2707,75063,147,152,8,2492,11.3,92.10000000000001
76491,625,64438,69,22,0,562,14.6,89.9
76501,17200,50855,1562,432,39,10035,11.799999999999999,58.3
76502,48508,77704,6780,2787,720,35215,21.2,72.6
76504,24276,44256,1906,834,227,14584,12.2,60.099999999999994
76511,2390,54750,120,42,23,1760,7.7,73.6
76513,43738,76564,5601,2087,431,31764,18.6,72.6
76518,1473,53125,92,12,3,1082,7.3,73.5
76519,483,86181,100,0,20,483,24.8,100.0
76520,7878,59340,760,227,23,5083,12.8,64.5
76522,41087,65760,3831,1319,99,25217,12.8,61.4
76523,477,56089,0,0,0,419,0.0,87.8
76524,4053,75435,251,239,10,3094,12.3,76.3
76525,1227,74063,157,66,0,1043,18.2,85.0
76527,4141,71366,352,109,33,3381,11.899999999999999,81.6
76528,19323,58862,1428,690,156,15096,11.799999999999999,78.10000000000001
76530,2424,76953,227,41,26,1904,12.1,78.5
76531,4591,55857,581,139,10,3945,15.9,85.9
76534,2890,71103,348,126,6,2504,16.6,86.6
76537,11501,88250,1124,341,20,7283,12.9,63.3
76538,1155,58654,179,43,4,986,19.6,85.39999999999999
76539,8713,82053,925,306,17,6316,14.299999999999999,72.5
76541,18849,34732,1049,135,0,8051,6.3,42.699999999999996
76542,52059,73133,6434,2447,193,19574,17.4,37.6
76543,33220,49021,2319,958,60,13090,10.0,39.4
76544,26040,54561,1426,361,28,15573,7.000000000000001,59.8
76548,32608,71845,4353,1526,108,16047,18.4,49.2
76549,55730,62607,5173,2041,227,20053,13.4,36.0
76550,13574,71618,1314,513,38,11298,13.700000000000001,83.2
76554,2509,72656,204,83,10,1736,11.799999999999999,69.19999999999999
76556,2008,63438,120,76,9,1654,10.2,82.39999999999999
76557,5389,70017,649,212,13,4377,16.2,81.2
76559,6443,65022,441,566,40,3976,16.3,61.7
76561,1207,69250,112,59,0,1065,14.2,88.2
76566,344,142500,60,5,3,329,19.8,95.6
76567,8244,48472,587,272,21,6745,10.7,81.8
76569,3304,78798,258,122,4,2505,11.600000000000001,75.8
76570,2243,38632,148,101,0,1642,11.1,73.2
76571,9648,94517,1832,632,75,8396,26.3,87.0
76574,19629,68360,1781,748,57,13359,13.200000000000001,68.10000000000001
76577,3196,68141,444,91,14,2488,17.2,77.8
76578,1232,92188,136,23,24,848,14.899999999999999,68.8
76579,5129,69471,601,171,14,4154,15.299999999999999,81.0
76621,1002,94375,153,55,0,932,20.8,93.0
76622,1558,73438,128,35,0,1462,10.5,93.8
76623,197,62917,2,0,0,156,1.0,79.2
76624,2587,67708,124,43,0,1906,6.5,73.7
76626,1363,94688,109,21,2,1248,9.700000000000001,91.60000000000001
76627,1389,70250,80,20,3,1308,7.3999999999999995,94.19999999999999
76628,91,117857,5,0,0,68,5.5,74.7
76629,1916,63333,119,39,0,1432,8.200000000000001,74.7
76630,1953,79000,122,96,51,1870,13.8,95.8
76631,540,83438,39,22,3,413,11.899999999999999,76.5
76632,1901,41875,140,25,22,865,9.8,45.5
76633,6348,106700,664,423,16,5663,17.4,89.2
76634,7316,68440,1007,246,82,6204,18.2,84.8
76635,1397,55393,105,85,56,984,17.599999999999998,70.39999999999999
76636,1638,66917,139,26,2,1436,10.2,87.7
76637,466,71250,54,15,5,380,15.9,81.5
76638,3106,117708,433,216,54,2888,22.6,93.0
76639,1823,39907,125,34,1,1317,8.799999999999999,72.2
76640,2953,52074,319,15,0,2478,11.3,83.89999999999999
76641,1714,64231,85,53,25,1252,9.5,73.0
76642,6216,57622,665,148,20,3845,13.4,61.9
76643,16034,75898,2355,941,303,12716,22.400000000000002,79.3
76645,10970,57500,866,370,12,7193,11.4,65.60000000000001
76648,2751,49833,247,86,0,2336,12.1,84.89999999999999
76649,700,67500,69,1,2,648,10.299999999999999,92.60000000000001
76650,96,79167,0,0,0,87,0.0,90.60000000000001
76651,3902,63173,258,140,7,2764,10.4,70.8
76652,955,65278,62,13,0,910,7.9,95.3
76653,1426,56875,57,14,0,1346,5.0,94.39999999999999
76654,173,65417,29,6,0,152,20.200000000000003,87.9
76655,8591,110248,1635,401,129,7288,25.2,84.8
76656,2560,71691,215,87,18,2206,12.5,86.2
76657,12160,92935,1835,510,187,10087,20.8,83.0
76660,664,47188,61,3,5,487,10.4,73.3
76661,7118,31888,242,84,0,2446,4.6,34.4
76664,3698,63621,252,25,13,2642,7.8,71.39999999999999
76665,2596,56130,185,88,6,2184,10.7,84.1
76666,186,41042,3,11,0,171,7.5,91.9
76667,10275,46130,670,242,7,5844,8.9,56.89999999999999
76670,1934,57206,33,41,6,1339,4.1000000000000005,69.19999999999999
76671,2011,68750,157,62,6,1623,11.200000000000001,80.7
76673,1162,53482,88,19,0,879,9.2,75.6
76676,317,63125,57,9,0,265,20.8,83.6
76678,112,45682,10,3,0,93,11.600000000000001,83.0
76679,1161,77702,171,14,0,1100,15.9,94.69999999999999
76681,419,31705,37,2,0,318,9.3,75.9
76682,3276,73654,321,74,12,2973,12.4,90.8
76686,230,63750,46,5,0,176,22.2,76.5
76687,1741,67720,239,79,0,1618,18.3,92.9
76689,4308,63889,298,104,10,3532,9.6,82.0
76690,1285,41667,81,14,6,968,7.9,75.3
76691,6315,75163,580,234,13,5348,13.100000000000001,84.7
76692,9673,57891,929,386,4,8745,13.600000000000001,90.4
76693,2320,54074,270,68,0,1525,14.6,65.7
76701,1861,29714,206,140,7,1286,19.0,69.1
76704,7450,19966,119,85,0,1657,2.7,22.2
76705,31985,51546,2090,946,52,17802,9.700000000000001,55.7
76706,40770,39317,2707,1155,147,27340,9.8,67.10000000000001
76707,16516,33964,898,279,39,7086,7.3999999999999995,42.9
76708,26917,64618,2609,1038,207,17529,14.299999999999999,65.10000000000001
76710,23008,49762,2934,1426,348,15036,20.5,65.4
76711,9474,51526,418,533,0,4649,10.0,49.1
76712,28758,91862,5238,2741,799,23319,30.5,81.10000000000001
76801,25048,51603,2213,646,187,19419,12.2,77.5
76802,5667,65750,885,111,22,4812,18.0,84.89999999999999
76821,4436,60924,379,218,0,3536,13.5,79.7
76823,2741,54594,337,100,6,2368,16.2,86.4
76825,6415,52143,648,187,0,4704,13.0,73.3
76828,236,49688,45,4,0,223,20.8,94.5
76832,572,44886,40,12,0,483,9.1,84.39999999999999
76834,4992,50565,536,125,18,4001,13.600000000000001,80.10000000000001
76837,1964,49250,81,36,9,1538,6.4,78.3
76842,179,52625,34,16,0,179,27.900000000000002,100.0
76844,3307,61989,441,182,58,2595,20.599999999999998,78.5
76845,231,72500,55,14,0,200,29.9,86.6
76849,3733,58413,489,195,29,2980,19.1,79.80000000000001
76852,286,78333,29,24,0,257,18.5,89.9
76853,1639,56420,230,74,5,1442,18.9,88.0
76856,3506,80210,651,202,24,2981,25.0,85.0
76857,1989,46047,214,55,9,1894,14.000000000000002,95.19999999999999
76858,226,50500,29,14,0,189,19.0,83.6
76859,1728,39730,249,78,34,1372,20.9,79.4
76861,2048,68750,228,53,1,1523,13.8,74.4
76862,167,56250,19,8,0,143,16.2,85.6
76864,800,43464,88,31,2,702,15.1,87.8
76865,200,54792,10,0,0,135,5.0,67.5
76866,946,62885,84,12,0,622,10.100000000000001,65.8
76871,561,59375,74,21,0,437,16.900000000000002,77.9
76872,798,55000,40,68,2,770,13.8,96.5
76875,484,54429,42,17,0,454,12.2,93.8
76877,4509,54406,424,150,9,3735,12.9,82.8
76878,1717,49250,164,39,0,1319,11.799999999999999,76.8
76882,194,56000,12,4,2,192,9.3,99.0
76884,75,73750,0,2,0,46,2.7,61.3
76887,68,88854,0,24,0,63,35.3,92.60000000000001
76888,127,57566,27,8,3,125,29.9,98.4
76890,902,56008,57,26,10,875,10.299999999999999,97.0
76901,31415,62879,3141,1349,137,24845,14.7,79.10000000000001
76903,30955,50077,2187,668,102,19687,9.6,63.6
76904,37090,81684,5321,2252,378,27851,21.4,75.1
76905,13424,77614,1322,356,63,10166,13.0,75.7
76930,87,52857,0,0,0,76,0.0,87.4
76932,3308,70319,144,89,5,1572,7.199999999999999,47.5
76933,1238,53935,87,19,22,999,10.299999999999999,80.7
76934,1068,51083,66,60,15,812,13.200000000000001,76.0
76936,2474,53774,163,42,0,1413,8.3,57.099999999999994
76941,1237,53315,169,13,0,830,14.7,67.10000000000001
76943,2841,64457,220,73,0,1138,10.299999999999999,40.1
76945,1825,37697,194,96,0,1638,15.9,89.8
76950,3386,56889,176,142,0,1631,9.4,48.199999999999996
76951,1392,63558,120,36,7,1049,11.700000000000001,75.4
76955,241,78036,18,0,0,241,7.5,100.0
77002,18800,78292,3103,1261,379,8102,25.2,43.1
77003,10169,87618,2202,1151,180,4356,34.699999999999996,42.8
77004,35506,68141,7132,3534,1137,11235,33.2,31.6
77005,28470,213059,6013,4024,1387,20634,40.1,72.5
77006,24006,104375,7304,4321,1111,16604,53.1,69.19999999999999
77007,42881,140536,15061,8232,1404,28956,57.599999999999994,67.5
77008,38496,140609,12241,5739,1213,28807,49.9,74.8
77009,36872,77817,5832,2626,298,17333,23.7,47.0
77010,837,221776,280,98,0,837,45.2,100.0
77011,16685,44412,819,122,4,6146,5.7,36.8
77012,17950,45784,821,205,0,5314,5.7,29.599999999999998
77013,18512,43492,942,197,22,6665,6.3,36.0
77014,37573,54303,3266,866,139,6598,11.4,17.599999999999998
77015,59314,55171,3052,578,20,21950,6.2,37.0
77016,29376,42186,1387,547,36,5138,6.7,17.5
77017,32574,53236,1483,441,45,13781,6.0,42.3
77018,28892,111524,6526,3422,401,19919,35.8,68.89999999999999
77019,22839,118172,6937,4120,813,15643,52.0,68.5
77020,25715,46606,1696,277,87,4672,8.0,18.2
77021,25500,46508,3046,1541,321,4640,19.2,18.2
77022,26903,46525,1684,521,18,10474,8.3,38.9
77023,25680,47697,2376,1214,237,9006,14.899999999999999,35.099999999999994
77024,37269,132710,11178,5108,888,26984,46.1,72.39999999999999
77025,29295,84274,6539,4267,2159,14985,44.3,51.2
77026,20732,33452,968,215,7,2584,5.7,12.5
77027,19478,103627,6450,3510,548,12604,53.900000000000006,64.7
77028,18669,33403,590,207,19,3742,4.3999999999999995,20.0
77029,16008,49443,667,126,0,5877,5.0,36.7
77030,12546,90475,2960,1456,1575,7298,47.8,58.199999999999996
77031,17351,44412,1288,637,134,6532,11.899999999999999,37.6
77032,13743,38834,710,130,52,4996,6.5,36.4
77033,28255,39118,984,300,218,7473,5.3,26.400000000000002
77034,37273,56772,2334,410,76,16726,7.6,44.9
77035,34254,52205,3864,1815,547,12479,18.2,36.4
77036,72278,41899,4821,1118,151,13464,8.4,18.6
77037,17585,47381,407,191,29,8602,3.5999999999999996,48.9
77038,32142,47682,1183,721,90,11940,6.2,37.1
77039,27907,41988,703,123,35,15684,3.1,56.2
77040,49762,62685,6099,1709,404,22219,16.5,44.7
77041,31912,84928,5739,1856,437,13290,25.2,41.6
